No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
214,disposições construtivas introduzidas em reservatórios passivos de tinta para uso em cassetes atm,AMAURI SLOMPO DOS SANTOS [BR],AMAURI SLOMPO DOS SANTOS [BR],BR202019014210U2,2019-07-09,E05G1/12,E05G1/12 (BR),2021-01-12,2021-01-12,74502139
215,processo de combate a operações irregulares de cargas e descargas de materiais,LUIZ HENRIQUE PIRES DE OLIVEIRA ALVES [BR],PLENA HERA PARTICIPACOES LTDA [BR],BR102019014022A2,2019-07-05,"G01S5/00 
G06K17/00 
G06Q10/08","G01S5/0027 (BR) 
G06K17/0022 (BR) 
G06Q10/08 (BR) 
G06Q10/0833 (BR)",2021-01-19,2021-01-19,74504349
216,método dinâmico de sensoriamento de o2 dissolvido e sistema para método,"GEOVANY ALBINO DE SOUZA [BR] 
TATIANA DUQUE MARTINS [BR]",UNIV FEDERAL DE GOIAS [BR],BR102019014824A2,2019-07-18,"G01J3/44 
G01N21/64 
G01N31/22","G01J3/4406 (BR) 
G01N31/225 (BR) 
G01N2021/6417 (BR) 
G01N21/6408 (BR)",2021-01-26,2021-01-26,74504613
217,dispositivo tipo chave suporte para construção civil,"ANTONIO CRISPIM NETO [BR] 
RICARDO DE LIMA SILVA [BR]","ANTONIO CRISPIM NETO [BR] 
INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE MINAS GERAIS [BR]",BR102019014817A2,2019-07-18,E04F21/18,E04F21/18 (BR),2021-01-26,2021-01-26,74504611
218,disposição de turbina em sistemas de abastecimento ou descarte de águas,"JOSÉ FERNANDO CORRÊA [BR] 
JOÃO GERODETTI AUBERT [BR]",ATS SIST DE TELEMETRIA MONITORAMENTO LTDA [BR],BR102019013176A2,2019-06-25,"F03B1/02 
F03B13/08",Y02E10/20 (EP),2021-01-05,2021-01-05,74214944
219,sistema e método para monitoramento do consumo de bebidas,ROBERTO FAINGOLD [BR],ROBERTO FAINGOLD [BR],BR102019014399A2,2019-07-11,"G01G17/04 
G01G19/52","G01G17/04 (BR) 
G01G19/52 (BR)",2021-01-19,2021-01-19,74504406
220,dispositivo anti-furto e anti-roubo para uso em veículos automotores,WALTER DOMINGOS JUSTOLIN JUNIOR [BR],WALTER DOMINGOS JUSTOLIN JUNIOR [BR],BR202019014581U2,2019-07-15,B60R25/042,,2021-01-26,2021-01-26,74504678
221,simulador para estudo de patologias cardíacas,"HANDERSON JORGE DOURADO LEITE [BR] 
HUGO ANTONIO NUNES SILVA [BR] 
JOSEMIR DA CRUZ ALEXANDRINO [BR] 
VINICIUS DO REGO DIAS [BR]","ALGETEC TECNOLOGIA IND E COMERCIO LTDA [BR] 
INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA IFBA [BR]",BR202019014112U2,2019-07-08,A61B5/0245,,2021-01-12,2021-01-12,74502155
222,sistema de mira digital para disparo em modo de cobertura usando tela de projeção livre,ROBERTO FABRÍCIO ABRAHÃO NEVES [BR],ROBERTO FABRICIO ABRAHAO NEVES [BR],BR102019014576A2,2019-07-15,F41G3/16,F41G3/165 (BR),2021-01-26,2021-01-26,74504626
223,método de rastreamento de produtos usando bases de registros distribuídos e compartilhados e números aleatórios gerados por processos quânticos,ROGERIO PASSY [BR],ROGERIO PASSY [BR],BR112020020986A2,2018-04-10,"G06Q10/08 
G06Q30/00","G06Q10/08 (EP) 
G06Q30/00 (EP)",2021-01-19,2019-10-17,68163393
224,processo de secagem de café através da fluidização homogeneizada,"CARLOS ALBERTO SOUZA DE OLIVEIRA [BR] 
DAVID DE ALMEIDA FIORILLO [BR]",POLO ZAIA DE INOVACAO E NEGOCIOS EIRELI ME [BR],BR102019014382A2,2019-07-11,"A23F5/02 
A23L3/50","A23F5/02 (BR) 
A23L3/50 (BR)",2021-01-19,2021-01-19,74504404
225,circuitos integrados mos suplementares,DANIEL MARQUES DOS SANTOS [BR],DANIEL MARQUES DOS SANTOS [BR],BR102019014854A2,2019-07-18,G01N27/414,"G01N27/4145 (BR) 
G01N27/4148 (BR)",2021-01-26,2021-01-26,74504650
226,gel à base de óleo fixo de sementes de combretum leprosum para tratamento de lesões cutâneas,"CLAUDIA ROBERTA DE ANDRADE GUIMARAES [BR] 
FRANCISCO EDUARDO ARAGAO CATUNDA JUNIOR [BR] 
JULIO GUILHERME LUNA DE MORAES [BR] 
LORENA BEZERRA MARTINS [BR] 
PATRÍCIA HOLANDA DE AZEVEDO ARARIPE [BR] 
THIAGO PARENTE NEIVA GOMES [BR]",IPADE INST PARA O DESENVOLVIMENTO DA EDUCACAO LTDA [BR],BR102019012891A2,2019-06-21,"A61K36/185 
A61P17/02",,2021-01-05,2021-01-05,74214919
227,método de monitoramento de danos térmicos em peças usinadas,"EDUARDO CARLOS BIANCHI [BR] 
FABIO ISAAC FERREIRA [BR] 
FABRÍCIO GUIMARÃES BAPTISTA [BR] 
PAULO ROBERTO DE AGUIAR [BR] 
ROSEMAR BATISTA DA SILVA [BR]","UNIV ESTADUAL PAULISTA JULIO DE MESQUITA FILHO UNESP [BR] 
UNIV FEDERAL DE UBERLANDIA [BR]",BR102019014074A2,2019-07-08,"G01L1/00 
G01N27/00 
G01N29/09",,2021-01-19,2021-01-19,74504356
228,vidro alumino-sodo-cálcico de resíduos de perfuração de poços de petróleo e processo de fabricação em baixa temperatura de vitrificação como proposta de disponibilização sustentável deste resíduo,"EDUARDO FERREIRA NEVES [BR] 
GILSON SILVA FILHO [BR] 
MARCELA SILVA MAIA [BR] 
MAYARA DUTRA DA SILVA [BR] 
OTONIEL DE AQUINO AZEVEDO [BR] 
ROBERTA KELLY RIBEIRO FREITAS [BR]","FUND DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO FAPES [BR] 
GILSON SILVA FILHO [BR] 
OTONIEL DE AQUINO AZEVEDO [BR] 
UNIAO SOCIAL CAMILIANA [BR]",BR102019014194A2,2019-07-09,"B09B3/00 
C03B5/06 
C03C1/00 
C03C3/087 
C03C6/10","B09B3/00 (BR) 
C03B5/06 (BR) 
C03C1/00 (BR) 
C03C3/087 (BR)",2021-01-19,2021-01-19,74504395
229,"processo para obtenção de magnetolipossomas, produtos e usos","ROSANA ZACARIAS DOMINGUES [BR] 
ROSANGELA MARIA FERREIRA DA COSTA E SILVA [BR] 
ÂNGELA LEÃO ANDRADE [BR]","UNIV FEDERAL DE OURO PRETO UFOP [BR] 
UNIV MINAS GERAIS [BR]",BR102019014427A2,2019-07-11,"A61K33/26 
A61K47/24 
A61K9/127 
A61P31/04 
A61P35/00","A61K33/26 (BR) 
A61K47/24 (BR) 
A61K9/127 (BR) 
A61K9/1277 (BR) 
A61P31/04 (BR) 
A61P35/00 (BR)",2021-01-19,2021-01-19,74504420
230,dispositivo detector de aproximação em ambiente aquático,"EMERSON FACHIN MARTINS [BR] 
FERNANDA DA ROCHA MEDEIROS [BR] 
ISABELA VIANA DANTAS [BR] 
JÚLIA RAULINO DE SOUZA RIPPEL [BR]",FUNDACAO UNIV DE BRASILIA [BR],BR102019014641A2,2019-07-16,"A63B69/12 
A63B71/00 
A63B71/06","A63B69/12 (BR) 
A63B2071/0027 (BR) 
A63B2071/0655 (BR)",2021-01-26,2021-01-26,74504653
231,multi adaptador de tomadas universal,ADEILSON COSTA DA CUNHA [BR],ADEILSON COSTA DA CUNHA [BR],BR202019014414U2,2019-07-11,H01R27/02,H01R27/02 (BR),2021-01-19,2021-01-19,74504437
232,colher térmica para sorvete e outros alimentos,"ANASTÁCIA CAROLINA SILVA DO NASCIMENTO [BR] 
CARLOS CHRISTIANO LIMA DOS SANTOS [BR] 
DAWY KEYSON DE ARAÚJO ALMEIDA [BR] 
JEFFERSON MAUL DE ANDRADE [BR] 
KARINA KARLA PACHECO PORPINO RIMAR [BR] 
LEANDRO SANTOS DA SILVA [BR] 
MARIA SORAYA PEREIRA FRANCO ADRIANO [BR] 
NIEREMBERG JOSÉ PEREIRA DE LYRA RAMOS [BR] 
POLIANA SOUSA EPAMINONDAS LIMA [BR] 
TARCISIO OLIVEIRA TRAJANO [BR] 
TÂNIA MARIA DE ANDRADE [BR]","FACULDADE UNINASSAU [BR] 
INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA PARAIBA [BR] 
UNIV FEDERAL DA PARAIBA UFPB [BR]",BR202019013205U2,2019-06-25,A47J43/28,A47J43/28 (BR),2021-01-05,2021-01-05,74502022
233,"composição de vitrificação e/ou aquecimento, processo para melhorar a criopreservação de células, e uso da composição de vitrificação e/ou aquecimento","ALESSANDRA APARECIDA VIREQUE [BR] 
IARA GONÇALVES ROBERTO VIANA [BR] 
PAULA ANDREA ALBUQUERQUE SALLES NAVARRO [BR]","EMPRESA INVITRA TECNOLOGIA DA REPRODUCAO ASSISTIDA LTDA [BR] 
UNIV SAO PAULO [BR]",BR102019013697A2,2019-07-01,A01N1/02,A01N1/0226 (BR),2021-01-12,2021-01-12,74502088
234,adjuvante microemulsionado estável,SANTIAGO FERMÍN WIRSCH [BR],SANTIAGO FERMIN WIRSCH [BR],BR102019013641A2,2019-07-01,"A01N25/02 
A01N25/30","A01N25/02 (BR) 
A01N25/30 (BR)",2021-01-05,2021-01-05,74501986
235,dispositivo de detecção de falta de neutro em medição na baixa tensão,"ARNULFO BARROSO DE VASCONCELLOS [BR] 
FABRICIO PARRA SANTILIO [BR] 
NICOLÁS EUSEBIO CORTEZ LEDESMA [BR] 
RAUL VITOR ARANTES MONTEIRO [BR] 
RODOLFO QUADROS [BR]",FUNDACAO UNIV FEDERAL DE MATO GROSSO [BR],BR102019013745A2,2019-07-02,G01R22/06,,2021-01-12,2021-01-12,74502065
236,"implemento rodoviário, sistema e processo de iluminação auxiliar de trabalho para implemento rodoviário",LEONARDO KNOLLER ADOMILLI [BR],RANDON S/A IMPLEMENTOS E PARTICIPACOES [BR],BR102019013358A2,2019-06-27,B60Q1/24,,2021-01-05,2021-01-05,74502000
237,"distribuidor para turbina hidráulica de fluxo reversível, dotado de pás fixas com ângulo de ataque constante e ângulo de saída radialmente variavel","ALMIR LUIZ RODRIGUES [BR] 
ANTONIO CARLOS BARKETT BOTAN [BR] 
GERALDO LUCIO TIAGO FILHO [BR]",UNIFEI UNIV FEDERAL DE ITAJUBA [BR],BR202019014390U2,2019-07-11,"F03B3/06 
F03B3/10","F03B3/06 (BR) 
F03B3/10 (BR) 
Y02E10/20 (EP)",2021-01-19,2021-01-19,74504332
238,dressador de rebolo com refrigeração externa,LUCIANE DE ARAUJO RODRIGUES [BR],"CLV TREINAMENTO E ASSESSORIA IND LTDA [BR] 
LUCIANE DE ARAUJO RODRIGUES [BR]",BR202019014342U2,2019-07-10,"B24D5/10 
B24D7/10",,2021-01-12,2021-01-12,74502158
239,metodologia do processo de biossíntese de metabolitos secundarios de fungos endofíticos com atividade inibitória contra linfadenite caseosa,FÚLVIA [BR],FULVIA SORAES CAMPOS DE SOUSA [BR],BR102019014583A2,2019-07-15,"A01P1/00 
C12P1/00",C12P1/00 (BR),2021-01-26,2021-01-26,74504628
240,sistema anti disparo de motor,SANDRO JOSE GARCIA [BR],SANDRO JOSE GARCIA [BR],BR202019013864U2,2019-07-04,B64C31/028,B64C31/0285 (BR),2021-01-12,2021-01-12,74502114
241,dispositivo de controle de acesso a internet e outros,FABIO ROCCA RODRIGUES [BR],FABIO ROCCA RODRIGUES [BR],BR202019014482U2,2019-07-12,G09B5/06,G09B5/06 (BR),2021-01-26,2021-01-26,74504666
242,derivados do n-sulfonilindol em formulações pesticidas contra insetos,"ADRIANA DE JESUS SANTOS [BR] 
LEANDRO BACCI [BR] 
NATHÁLIA ARAÚJO MACÊDO [BR] 
RAFAEL DOS REIS BARRETO DE OLIVEIRA [BR] 
RAFAELA KAROLINA VIANA NUNES [BR] 
ROGÉRIA DE SOUZA NUNES [BR] 
ROSELI LA CORTE DOS SANTOS [BR] 
SÓCRATES CABRAL DE HOLANDA CAVALCANTI [BR] 
THAYSNARA BATISTA BRITO [BR] 
ÂNGELA CECÍLIA FREIRE COSTA [BR]",UNIV FEDERAL SERGIPE [BR],BR102019013424A2,2019-06-27,"A01N43/38 
A01P7/04",A01N43/38 (BR),2021-01-05,2021-01-05,74502005
243,"ferramenta, processo e sistema de fabricação de cilindro a partir de chapa, eixo veicular e cilindro a partir de chapa","EDUARDO CARRARO [BR] 
LEANDRO PASQUALOTTO [BR] 
RODRIGO MALACARNE [BR]",RANDON S A IMPLEMENTOS E PARTICIPACOES [BR],BR102019013355A2,2019-06-27,"B21D22/00 
B21D31/00","B21C37/08 (EP) 
B21D22/02 (EP) 
B21D5/00 (EP)",2021-01-05,2020-12-30,74060457
244,equipamento para resgate automático de elevadores,"HENRIQUE JORGE FERREIRA LOPES FILHO [BR] 
SÉRGIO HENRIQUE CORREA LIMA MIRANDA [BR]","HENRIQUE JORGE FERREIRA LOPES FILHO [BR] 
SERGIO HENRIQUE CORREA LIMA MIRANDA [BR]",BR102019013582A2,2019-06-28,B66B5/02,B66B5/02 (EP),2021-01-05,2020-12-30,74060761
245,veículo subaquático de acionamento remoto,"HELIO HERINGER VILLENA [BR] 
MARCOS ANTONIO DOS SANTOS FERNANDEZ [BR]",UNIV DO ESTADO DO RIO DE JANEIRO [BR],BR102019013111A2,2019-06-24,"B63C11/48 
B63G8/00 
B63G8/16","B63C11/48 (BR) 
B63G8/001 (BR) 
B63G8/16 (BR)",2021-01-05,2021-01-05,74214932
246,bico injetor com caixa de vácuo acoplada,VALTENCIR JOSÉ POSORSKI [BR],VALTENCIR JOSE POSORSKI [BR],BR102019014416A2,2019-07-11,E03D5/01,E03D5/01 (BR),2021-01-19,2021-01-19,74504409
247,disposição construtiva em colchão de espuma,DOMINGOS VITIELLO CIRYLLO NETO [BR],SANKO ESPUMAS IND E COMERCIO LTDA [BR],BR202012002187Y1,2012-01-31,A47C27/15,,2021-01-12,2021-01-12,74502180
248,utensílio manual para prática de moldes e decoração,"ALEX DAMYEM VESCO GAIOTTO [BR] 
DANIELLI CESNIK GAIOTTO [BR]","ALEX DAMYEM VESCO GAIOTTO [BR] 
DANIELLI CESNIK GAIOTTO [BR]",BR202019014846U2,2019-07-18,"A21C11/02 
A47J9/00","A21C11/02 (BR) 
A47J9/007 (BR)",2021-01-26,2021-01-26,74504682
249,processo de construção de um biossensor eletroquímico explorando imobilização enzimática em solução aquosa com biomateriais de botryosphaeria rhodina e aplicação analítica,"ADRIANA GOMES [BR] 
ANELI DE MELO BARBOSA DEKKER [BR] 
ELEN JULCILÉIA ROMÃO SARTORI [BR] 
GABRIEL JUNQUETTI MATTOS [BR] 
ROBERT FRANS HUIBERT DEKKER [BR] 
TATIANE MAZZIERO [BR]",UNIV ESTADUAL LONDRINA [BR],BR102019014250A2,2019-07-10,"G01N27/26 
G01N27/30 
G01N27/327 
G01N33/573","G01N27/26 (BR) 
G01N27/30 (BR) 
G01N27/327 (BR) 
G01N33/573 (BR)",2021-01-19,2021-01-19,74504416
250,dispositivo de detecção de vazamento de gás gn e glp e travamento de válvula e tubulação com informação via wi-fi e dispositivo mobile,LUIZ CARLOS GRUNEWALD [BR],LUIZ CARLOS GRUNEWALD [BR],BR202019014807U2,2019-07-18,"G08B21/16 
G08B25/10","G08B21/16 (BR) 
G08B25/10 (BR)",2021-01-26,2021-01-26,74504674
251,aperfeiçoamentos em equipamento para filtragem de água de piscinas,LUIZ FILIPE DE SOUZA SISSON [BR],IGUI WORLDWIDE PISCINAS LTDA EPP [BR],BR132019014412E2,2019-07-11,E04G1/32,E04G1/32 (BR),2021-01-12,2021-01-12,74502171
252,disposição construtiva aplicada em dispositivo coletor de fluídos sob elevada pressão,"ARNO KIELING STEIGER [BR] 
JOÃO MARCELO KETZER [SE]",UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA MANTENEDORA DA PUCRS [BR],BR202019013610U2,2019-06-28,"E02D1/04 
G01N1/10 
G01N1/12 
G01N1/22","G01N1/2294 (BR) 
E02D1/04 (BR) 
G01N1/12 (BR) 
G01N2001/1031 (BR)",2021-01-12,2021-01-12,74502102
253,"sistema e método para liberação de produtos sólidos, a granel ou com invólucro, para controle biológico de pragas na agricultura usando dispensadores acoplados ou incorporados a veículos tripulados ou não-tripulados","NICHOLAS RODWELL MATIAS [BR] 
RICARDO ANTONIO DE OLIVEIRA MACHADO [BR]",SPITFIRE MULTIMIDIA S/S LTDA ­ ME [BR],BR102019014753A2,2019-07-17,"B05B3/02 
B64D1/18","A01M1/20 (EP) 
A01M9/00 (EP) 
B05B3/02 (EP) 
B64C39/02 (EP) 
B64D1/18 (EP)",2021-01-26,2021-01-21,74209590
254,disposição introduzida em assento de transporte de uma criança em um veículo de passeio,DANIEL CINTRA CUGLER [BR],DANIEL CINTRA CUGLER [BR],BR102019013199A2,2019-06-25,"B60N2/28 
B60Q9/00 
G08B21/02",,2021-01-05,2021-01-05,74214951
255,disposição introduzida em equipamento para aferição de peso de uma cápsula de um produto fármaco,"FERNANDO GONÇALVES CORRAL [BR] 
MATHEUS FRANCESCHINI LUTZ [BR]","FERNANDO GONCALVES CORRAL [BR] 
MATHEUS LUTZ [BR]",BR102019013194A2,2019-06-25,A61J3/06,A61J3/06 (BR),2021-01-05,2021-01-05,74214943
256,mecanismo de trancamento operado por barra antipânico,MARCO ANTONIO LAURO [BR],SCALA SIST CONTRA INCENDIO LTDA [BR],BR102019013253A2,2019-06-26,E05B65/10,E05B65/1046 (BR),2021-01-05,2021-01-05,74238134
257,"filamento polimérico funcionalizado, uso do mesmo e processo de manufatura aditiva de fabricação por filamento fundido (fff)","JULIANA BREDA SOARES [BR] 
LIANE ROLDO [BR]",UNIV FEDERAL RIO GRANDE SUL [BR],BR102019014260A2,2019-07-10,"C08F12/08 
C08F2/00 
C08F20/44 
C08J3/00",,2021-01-19,2021-01-19,74504417
258,"sistema subaquático sem fio para luminárias, robôs, som,alarmes, entre outros",ANÍBAL RENÉ REICHENBACH [BR],ANIBAL RENE REICHENBACH [BR],BR102019014054A2,2019-07-06,F21V29/505,,2021-01-19,2021-01-19,74504350
259,sistema inteligente de identificação de objetos baseado em características,SIDNEY SCHNEIDER JUNIOR [BR],CAMERITE SIST S A [BR],BR102020020603A2,2020-10-07,"G06F16/24 
G06F3/048 
G06K7/14","G06F3/048 (BR) 
G06K7/1443 (BR)",2021-01-19,2021-01-19,74504323
260,kit antropômetro pediátrico,CLÁUDIA GUIMARÃES PINTO DIAS [BR],CLAUDIA GUIMARAES PINTO DIAS [BR],BR202019014647U2,2019-07-16,A61B5/107,A61B5/1072 (BR),2021-01-19,2021-01-19,74504443
261,armadilha para captura de flebotomíneos,"BALTAZAR CASAGRANDE [BR] 
EDUARDO AUGUSTO WERNECK RIBEIRO [BR] 
RAUL BORGES GUIMARÃES [BR]",INST FEDERAL CATARINENSE [BR],BR202019014775U2,2019-07-17,A01M1/04,A01M1/04 (BR),2021-01-26,2021-01-26,74504681
262,método de fabricação de componente de turbina hidrocinética: pá com núcleo de pecíolo de miriti (mauritia flexuosa) revestido com material compósito,"IGOR DOS SANTOS GOMES [BR] 
ROBERTO TETSUO FUJIYAMA [BR]",UNIV FEDERAL PARA [BR],BR102019014434A2,2019-07-11,B32B5/26,"B32B5/26 (BR) 
B32B2264/0221 (BR) 
B32B2264/0228 (BR) 
B32B2264/025 (BR) 
B32B2264/0264 (BR) 
B32B2264/0292 (BR)",2021-01-19,2021-01-19,74504369
263,processo de produção de esponjas para carreamento de fármacos e absorção de fluidos e esponjas assim produzidas,"CLAUDIO TEODORO DOS SANTOS [BR] 
CRISTIANE EVELISE RIBEIRO DA SILVA [BR] 
ERIKA DA SILVA SALES [BR] 
MAURÍCIO DE JESUS MONTEIRO [BR] 
ROBERTA HELENA MENDONÇA [BR] 
SONIA LETICHEVSKY [BR] 
TALITA GOULART DA SILVA [BR] 
VERONICA MARIA DOS SANTOS TEIXEIRA [BR]","INSTITUTO NAC DE TECNOLOGIA [BR] 
PONTIFICIA UNIV CATOLICA DO RIO DE JANEIRO PUC RIO [BR] 
UNIV FEDERAL RURAL DO RIO DE JANEIRO [BR]",BR102019013902A2,2019-07-04,"A61L15/28 
A61L15/42 
C08F290/00 
C08F290/08 
C08F290/10 
C08G18/42 
C08L5/08","C08F290/00 (BR) 
A61L15/28 (BR) 
A61L15/425 (BR) 
C08F290/08 (BR) 
C08F290/10 (BR) 
C08G18/42 (BR) 
C08J2305/08 (BR) 
C08L5/08 (BR)",2021-01-12,2021-01-12,74502072
264,aperfeiçoamentos em sistema para registro nacional de animais de estimação e respectivo meio de identificação/localização,CARLOS ALBERTO ALZEMAN FABBRO [BR],CARLOS ALBERTO ALZEMAN FABBRO [BR],BR102019027372A2,2019-12-19,"A01K27/00 
G09F3/00","A01K11/006 (EP) 
G09F3/00 (BR) 
A01K27/00 (BR) 
A01K27/001 (BR)",2021-01-19,2021-01-19,73834251
265,aperfeiçoamento aplicado em processo de fabricação de boiler termoplástico monolítico de alta durabilidade para alta pressão de coluna d'água e produto resultante,ALCIDES BIGAI JUNIOR [BR],ALCIDES BIGAI JUNIOR [BR],BR132019013322E2,2019-06-26,"F24H7/02 
F24S60/30","F24H7/02 (BR) 
F24S60/30 (BR)",2021-01-12,2021-01-12,74502175
266,sistema acústico-magnético portátil sem fio para o monitoramento de processos de fabricação em tempo real,FABIO ROMANO LOFRANO DOTTO [BR],FABIO ROMANO LOFRANO DOTTO [BR],BR102019014455A2,2019-07-12,"B23Q17/00 
G01H1/00 
G01M13/00 
G01N29/11 
G01N29/14 
G03B42/06","B23Q17/00 (BR) 
G01H1/003 (BR) 
G01M13/00 (BR) 
G01N29/11 (BR) 
G01N29/14 (BR) 
G03B42/06 (BR) 
Y02P70/10 (EP)",2021-01-19,2021-01-19,74504359
267,"composições para tratamento de cabelos, métodos para tratar cabelos e para transmitir aos cabelos um ou mais efeitos","CHANTAL JOUY [FR] 
MANON CHAUMONTET [FR] 
MARINA TAVARES GREGOLIN [BR] 
PEDRO HENRIQUE CARVALHO [BR] 
SÉBASTIEN VOISIN [FR]",OREAL [FR],BR112020020661A2,2018-04-09,"A61K8/36 
A61K8/362 
A61K8/41 
A61K8/46 
A61Q5/04","A61K8/342 (US) 
A61K8/36 (EP,KR) 
A61K8/362 (EP,KR,US) 
A61K8/41 (EP,KR) 
A61K8/416 (US) 
A61K8/42 (US) 
A61K8/46 (EP,KR,US) 
A61K8/55 (US) 
A61K8/73 (KR) 
A61K8/891 (KR,US) 
A61K8/898 (US) 
A61Q5/00 (KR) 
A61Q5/04 (EP,KR,US) 
A61K2800/30 (US) 
A61K2800/48 (US) 
A61K2800/596 (US)",2021-01-12,2019-10-17,62025636
268,processo e dispositivo para coleta de extrato aquoso de material botânico,"ITAMAR FERREIRA DE SOUZA [BR] 
MARCUS VINÍCIUS PRADO ALVES [BR]","FUND AMPARO PESQUISA ESTADO MINAS GERAIS FAPEMIG [BR] 
UNIV FEDERAL LAVRAS [BR]",BR102014011368A2,2014-05-12,"B01L3/00 
B65D1/16 
B65D23/12 
G01N1/10",,2021-01-12,2021-01-12,74502083
269,disposição construtiva em descascadora de nozes e frutos com casca dura,CARLOS PINTO DORNELES [BR],CARLOS PINTO DORNELES [BR],BR202019013659U2,2019-07-01,A23N5/00,"A23N5/004 (BR) 
A23N5/002 (BR) 
A23N5/008 (BR)",2021-01-12,2021-01-12,74502142
270,disposição aplicada em fechadura eletroímã com sensor de proximidade,SEBASTIÃO FERNANDES [BR],SONAR SIST DE SEGURANCA LTDA [BR],BR202019014864U2,2019-07-18,E05B47/00,E05B47/0002 (BR),2021-01-26,2021-01-26,74504619
271,acessório para instalação de portas e batentes,CARLOS EDUARDO DOS PASSOS [BR],ADAMI S/A MADEIRAS [BR],BR202019014675U2,2019-07-16,E04F21/00,E04F21/0015 (BR),2021-01-26,2021-01-26,74504664
272,aparelho medidor de arquitetura de copa de árvore,EDUARDO AUGUSTO WERNECK RIBEIRO [BR],INST FEDERAL CATARINENSE [BR],BR202019013944U2,2019-07-04,"G01B11/08 
G01B5/00","G01B11/08 (BR) 
G01B5/0035 (BR)",2021-01-12,2021-01-12,74502118
273,"composições cosméticas, composição aquosa e processo de tratamento cosmético","DIVYE MYKAELLA CARBONERA [BR] 
LEANDRO VALERIANO DE CARVALHO [BR]",OREAL [FR],BR112016030656B1,2014-10-31,"A61K8/04 
A61K8/73 
A61K8/81 
A61K8/90 
A61Q5/00","A61K8/04 (EP) 
A61K8/731 (EP) 
A61K8/817 (EP) 
A61K8/90 (EP) 
A61Q5/002 (EP)",2021-01-12,2016-05-06,51951528
274,sistema de monitoramento em tempo real do carregamento da bateria de um veículo elétrico,ALEXANDRE ABDALLA PALIS JUNIOR [BR],ALEXANDRE ABDALLA PALIS JUNIOR [BR],BR102019018766A2,2019-09-10,"B60L3/12 
B60L53/60 
H04W88/18","B60L3/12 (BR) 
H04W88/18 (BR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (EP) 
Y04S30/14 (EP)",2021-01-05,2021-01-05,74501991
275,equipamento de esterilização e desinfecção por aplicação de radiação ultravioleta e ar quente,PEDRO DE BRAGANÇA TERRA [BR],PEDRO DE BRAGANCA TERRA [BR],BR102020011577A2,2020-06-09,A61L2/10,A61L2/10 (BR),2021-01-19,2021-01-19,74504320
276,compressor alternativo,"EMERSON MOREIRA [BR] 
RICARDO MIKIO DOI [BR] 
SÉRGIO KOERICH LOHN [BR]",EMBRACO IND DE COMPRESSORES E SOLUCOES EM REFRIGERACAO LTDA [BR],BR102019014485A2,2019-07-12,"F04B39/00 
F04B39/12","F04B39/0055 (EP) 
F04B39/0061 (EP) 
F04B39/0072 (EP) 
F04B39/123 (EP)",2021-01-26,2021-01-21,72659568
277,"peptídeo, composição para inibir a contração de células musculares, método para inibir a contração de células musculares, método para induzir a proliferação de células epidérmicas e método para reduzir a aparência de rugas","ALEFF FERREIRA FRANCISCO [BR] 
FERNANDO ZANCHI [BR] 
LEONARDO DE AZEVEDO CALDERON [BR] 
LIONEL BRETON [BR] 
RODRIGO DE VECCHI [BR]",OREAL [FR],BR112020017397A2,2018-04-30,"A61K38/04 
A61K8/64 
A61P21/02 
A61Q19/08","A61K38/04 (EP) 
A61K8/64 (EP) 
A61P21/02 (EP) 
A61Q19/08 (EP)",2021-01-19,2019-11-07,62116639
278,chuveiro de plasma,PEDRO ALEXANDRE DAUN [BR],PEDRO ALEXANDRE DAUN [BR],BR102019014880A2,2019-07-18,"F24D15/00 
F24H1/00 
G05D23/19",Y02B30/70 (EP),2021-01-26,2021-01-26,74504617
279,telha biomimética para edificações em geral,"AGUILAR SELHORST JUNIOR [BR] 
ARTHUR BELTRAME CANCIGLIERI [BR] 
DENISE DA MATA MEDEIROS [BR] 
DIEGO PEREIRA MENDES [BR] 
JOÃO ALBERTO SALDANHA JUNIOR [BR] 
MARIA CAROLINA DO VAL DA FONSECA NARDONI [BR] 
OSÍRIS CANCIGLIERI JUNIOR [BR] 
ROBERTA FERRARI DE SÁ [BR] 
TIAGO DOS SANTOS SILVA [BR]",ASSOCIACAO PARANAENSE CULTURA APC [BR],BR202019013149U2,2019-06-25,"E04C1/00 
E04D1/02","E04C1/00 (BR) 
E04D1/02 (BR)",2021-01-05,2021-01-05,74502019
280,secador e limpador de produtos agrícolas colhidos em forma de grãos,DORVALINO LUIZ ZULIAN [BR],DORVALINO LUIZ ZULIAN [BR],BR102019013285A2,2019-06-26,A01F12/44,A01F12/442 (BR),2021-01-05,2021-01-05,74501970
